CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
151098759880875	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Dual_Wall_Vacuum_Insulated_Canteens_and_Growler-MULTI-NB-SP-MIXED (High Volume)	Reduce
75833394884439	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Insulated_Cocktail_Shaker-B07PGJ9Y1K-NB-SP-Manual	Reduce
23196874695343	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Insulated_Cocktail_Shaker-B07PGJ9Y1K-NB-SP-MIXED (High Volume)	Reduce
194022937941942	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Cold_Tumbler_with_Handle_40z-MULTI-Branded-SP-MIXED	Reduce
115346308691625	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Cold_Tumbler_with_Handle_40z-MULTI-NB-SP-MIXED (High Volume)	Reduce
217160726033314	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Tumbler-MULTI-NB-SP-Manual	Reduce
92337844595947	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Coldee_Tumbler-MULTI-Branded-SP-MIXED	Reduce
9216272674203	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Coldee_Tumbler-MULTI-NB-SP-MIXED-CNQ	Reduce
244369570045373	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Thermal_Flasks_34oz-B079YV5R16-NB-SP-Manual	Reduce
270906693887206	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Thermal_Flasks_34oz-B079YV5R16-NB-SP-MIXED	Reduce
217035851155584	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Food_Jar-MULTI-NB-SP-MIXED1	Reduce
212270099871920	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Coffee_Mug_With_Lid_and_Handle_Hot1_14oz-MULTI-Branded-SP-MIXED	Reduce
33071046489474	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Hot1_Tumbler-MULTI-NB-SP-MIXED-CNQ	Reduce
278601502131747	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-HydroPro_Bottle-MULTI-NB-SP-MIXED (High Volume)	Reduce
14464211752780	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Lunch_Box-MULTI-Branded-SP-MIXED	Reduce
31106101125921	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Water_Week_Classic-MULTI-Branded-SP-MIXED	Reduce
73744168307717	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Water_Week_Classic-MULTI-NB-SP-MIXED	Reduce
51914899314380	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Wine_Tumbler-MULTI-Branded-SP-MIXED	Reduce
157975376219191	78550379747160	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Value Source - Frozen - Auto	AeroBed
94256689738603	78550379747160	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Value Source - My Little Pony - Auto	AeroBed
41068165289461	78550379747160	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Value Source - Star Wars - Auto	AeroBed
223985888319010	78550379747160	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Value Source - Beauty and the Beast - Manual-NB-SP-MIXED	AeroBed
276107818184323	240088513482437	sp	MANUAL	MANUAL	PAUSED	Amertac-Westek_Address_Light-B07RFTVGM7-NB-SP-Exact	AMERELLE
181541943600403	240088513482437	sp	AUTO	MANUAL	PAUSED	Amertac-Westek_Address_Light-B081R54JPX-NB-SP-Auto	AMERELLE
7479774855712	240088513482437	sp	AUTO	MANUAL	PAUSED	Amertac-Westek_Otto_Motion_Night_Light-B07R7RVBRT-NB-SP-Auto	AMERELLE
230405842253603	240088513482437	sp	AUTO	MANUAL	PAUSED	Amertac-Westek_Address_Light-B07RFTVGM7-NB-SP-Auto	AMERELLE
46835337807390	78550379747160	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Value Source - Upwords Game - Manual	AeroBed
234045429764818	78550379747160	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Value Source - Frozen - Manual	AeroBed
57722891116697	240088513482437	sp	MANUAL	MANUAL	PAUSED	Amertac-Westek_Address_Light-B081R54JPX-NB-SP-Broad	AMERELLE
73679420390630	78550379747160	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Value Source - My Little Pony - Manual	AeroBed
